FID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,21,KENTUCKY,KY,21015,Boone,21015980100,"Census Tract 9801, Boone County, Kentucky",6.1098931,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-999.0,-999.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.6,0.0,15.6,0.0,44.0,0.0,15.6,0.0,11.0,0.0,15.6,0.0,11.0,0.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,11.0,-999.0,-999.0,6113.0
1,21,KENTUCKY,KY,21029,Bullitt,21029980100,"Census Tract 9801, Bullitt County, Kentucky",55.0379459,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-999.0,-999.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.6,0.0,15.6,0.0,44.0,0.0,15.6,0.0,11.0,0.0,15.6,0.0,11.0,0.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,11.0,-999.0,-999.0,325.0
2,21,KENTUCKY,KY,21047,Christian,21047980100,"Census Tract 9801, Christian County, Kentucky",15.9920614,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-999.0,-999.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.6,0.0,15.6,0.0,44.0,0.0,15.6,0.0,11.0,0.0,15.6,0.0,11.0,0.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,11.0,-999.0,-999.0,1182.0
3,21,KENTUCKY,KY,21111,Jefferson,21111980100,"Census Tract 9801, Jefferson County, Kentucky",6.6949712,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-999.0,-999.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.6,0.0,15.6,0.0,44.0,0.0,15.6,0.0,11.0,0.0,15.6,0.0,11.0,0.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,11.0,-999.0,-999.0,32662.0
4,21,KENTUCKY,KY,21143,Lyon,21143980100,"Census Tract 9801, Lyon County, Kentucky",65.7812931,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-999.0,-999.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.6,0.0,15.6,0.0,44.0,0.0,15.6,0.0,11.0,0.0,15.6,0.0,11.0,0.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,11.0,-999.0,-999.0,0.0
5,21,KENTUCKY,KY,21221,Trigg,21221980200,"Census Tract 9802, Trigg County, Kentucky",35.3262928,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-999.0,-999.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.6,0.0,15.6,0.0,44.0,0.0,15.6,0.0,11.0,0.0,15.6,0.0,11.0,0.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,11.0,-999.0,-999.0,7.0
6,21,KENTUCKY,KY,21001,Adair,21001970100,"Census Tract 9701, Adair County, Kentucky",67.7296298,1538.0,178.0,704.0,64.0,575.0,61.0,364.0,129.0,28.0,34.0,17248.0,1926.0,271.0,83.0,267.0,41.0,310.0,79.0,368.0,79.0,10.0,10.6,60.0,249.6,0.0,44.0,0.0,15.6,182.0,58.0,10.0,19.4,10.0,12.0,0.0,11.0,23.8,7.9,4.3,4.9,17248.0,1926.0,24.2,6.5,17.4,2.8,20.2,4.6,23.9,5.5,1.7,1.8,3.9,16.2,0.0,3.1,0.0,2.2,25.9,7.6,1.7,3.4,1.7,2.0,0.0,0.7,0.6618,0.2005,0.785,0.794,2.4414,0.6259,0.7094,0.2482,0.8273,0.0262,1.8111,0.3526,0.2563,0.0,0.2563,0.1859,0.0,0.7926,0.5433,0.1295,0.0,1.4654,0.1694,5.9742,0.2983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,88.0,12.3,5.2,475.0
7,21,KENTUCKY,KY,21001,Adair,21001970200,"Census Tract 9702, Adair County, Kentucky",40.2704127,1841.0,181.0,967.0,53.0,742.0,61.0,238.0,121.0,30.0,24.0,20811.0,2276.0,291.0,80.0,291.0,82.0,375.0,98.0,268.0,86.0,0.0,15.6,73.0,252.5,0.0,44.0,0.0,15.6,277.0,62.0,35.0,34.7,5.0,7.0,37.0,20.0,13.1,6.4,3.6,2.7,20811.0,2276.0,21.6,5.6,15.8,4.5,20.4,4.9,14.8,4.8,0.0,2.1,4.0,13.7,0.0,2.5,0.0,1.6,28.6,6.3,4.7,4.7,0.7,1.0,2.0,1.1,0.3273,0.1301,0.5664,0.7091,1.7329,0.4167,0.5659,0.2653,0.3382,0.0,1.1694,0.0796,0.2608,0.0,0.2608,0.1886,0.0,0.8297,0.9161,0.0399,0.7347,2.5203,0.6087,5.6834,0.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,148.0,91.0,8.2,4.9,527.0
8,21,KENTUCKY,KY,21001,Adair,21001970300,"Census Tract 9703, Adair County, Kentucky",73.9433851,3032.0,310.0,1402.0,93.0,1183.0,97.0,678.0,178.0,108.0,60.0,19191.0,2491.0,532.0,136.0,548.0,92.0,631.0,142.0,513.0,122.0,120.0,61.5,57.0,437.0,0.0,44.0,19.0,32.0,400.0,100.0,0.0,15.6,69.0,49.0,0.0,11.0,22.4,5.7,7.4,3.9,19191.0,2491.0,24.3,6.2,18.1,3.1,20.8,4.2,16.9,4.1,10.1,5.1,1.9,14.4,0.0,1.5,1.4,2.3,28.5,6.7,0.0,1.3,5.8,4.2,0.0,0.4,0.6248,0.4995,0.6667,0.7977,2.5886,0.6649,0.7563,0.3114,0.4792,0.6462,2.1931,0.6085,0.1137,0.0,0.1137,0.0903,0.4774,0.8279,0.0,0.4611,0.0,1.7664,0.2763,6.6618,0.4007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,168.0,10.7,5.4,1179.0
9,21,KENTUCKY,KY,21001,Adair,21001970401,"Census Tract 9704.01, Adair County, Kentucky",40.6836369,4654.0,348.0,2067.0,153.0,1930.0,167.0,994.0,253.0,87.0,71.0,19626.0,1723.0,795.0,192.0,946.0,133.0,961.0,160.0,952.0,214.0,129.0,71.3,404.0,479.6,9.0,44.8,68.0,49.3,157.0,73.0,93.0,78.4,184.0,87.0,151.0,112.0,22.1,5.5,4.0,3.3,19626.0,1723.0,24.8,5.9,20.3,3.1,20.6,3.1,21.1,4.6,6.7,3.6,8.7,10.3,0.2,1.0,3.3,2.4,7.6,3.5,4.8,4.0,9.5,4.4,3.2,2.4,0.6139,0.1743,0.6396,0.8121,2.2399,0.5697,0.889,0.296,0.7179,0.3384,2.2414,0.6492,0.5144,0.5,1.0144,0.5614,0.6146,0.5,0.9215,0.6803,0.8195,3.5358,0.9248,9.0316,0.7933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,477.0,224.0,10.6,4.8,8315.0
